,bid_size_0,bid_price_0,bid_size_1,bid_price_1,bid_size_2,bid_price_2,bid_size_3,bid_price_3,bid_size_4,bid_price_4,bid_size_5,bid_price_5,bid_size_6,bid_price_6,bid_size_7,bid_price_7,bid_size_8,bid_price_8,bid_size_9,bid_price_9,ask_size_0,ask_price_0,ask_size_1,ask_price_1,ask_size_2,ask_price_2,ask_size_3,ask_price_3,ask_size_4,ask_price_4,ask_size_5,ask_price_5,ask_size_6,ask_price_6,ask_size_7,ask_price_7,ask_size_8,ask_price_8,ask_size_9,ask_price_9
bid_size_0,1.0,0.17921540901617172,0.32870207988828876,0.17992461579840302,0.09556230285664521,0.18064465117576595,0.008104595612532269,0.1813692031988849,-0.01862516681953987,0.18210962121658836,-0.0956022501039013,0.18284673822791084,-0.059244826935021186,0.18357351877689693,-0.04557181910178863,0.1843114645820654,-0.03871391697997936,0.1850578055880838,0.006008970760672352,0.1857961182721177,-0.0959907582941578,0.18616374527150636,-0.06910376548858194,0.18619124844181903,0.019405832229736564,0.18622382648797658,0.08745432881597062,0.18625157278988688,0.08835206855149935,0.1862872680432692,0.061227694689206476,0.18632136200150484,0.0521514645626673,0.18634392845397182,0.030377646428834205,0.18636516468708805,0.034295425765025145,0.1863909091201784,0.04212608892738149,0.1864149752326653
bid_price_0,0.17921540901617172,1.0,0.21270411923701957,0.9999749508820028,-0.0030372101001756575,0.9999500034247784,-0.10530204991950078,0.9999252513008395,-0.12465715529320427,0.9998994422559282,-0.12456539522305858,0.9998735314121573,-0.12596905846459183,0.9998483711389782,-0.09752452612497758,0.9998215915191948,-0.07344769305564902,0.9997954710994601,-0.03770540134166389,0.999770002274369,-0.12975897989974158,0.9996661376544386,-0.12330470801969512,0.9996541109069146,-0.00977109420943609,0.9996441617000839,0.029438681277069445,0.9996329865260669,0.03634602423527712,0.999620002680849,0.04787837573077351,0.99960643036088,0.07308931821415793,0.9995942781079704,0.08103051455548863,0.9995833830043369,0.08503137623458017,0.9995730883626228,0.05716392670899404,0.9995633157213286
bid_size_1,0.32870207988828876,0.21270411923701957,1.0,0.21240203933620924,0.2590675603969453,0.21267240263510956,0.11248821719421329,0.21293211126483474,0.02087597889893783,0.21320446424517575,-0.0033572858712182115,0.21349986675857785,-0.027206098524113383,0.2137664053476351,0.007969578173728648,0.21407131713006744,0.01349399925811104,0.2143632036331139,0.04234746720509545,0.21464890891416666,-0.1102926967354297,0.21506982291375,-0.04960744448215333,0.21497512561133097,0.10600436751551547,0.21489680639885583,0.15256457944360416,0.21482015083915337,0.09536561291969083,0.21473738689263563,0.06919059588356184,0.21465394500593554,0.06471691480934431,0.21456664491489422,0.043182650617831414,0.2144858007668486,0.036179668176688336,0.21440006221937294,0.032834950641894116,0.21432289343845362
bid_price_1,0.17992461579840302,0.9999749508820028,0.21240203933620924,1.0,-0.003048652149078024,0.9999751826313467,-0.10527624216007356,0.9999504356400258,-0.12455064220992887,0.9999246612131604,-0.12444029457958139,0.9998987494695646,-0.12586343524362276,0.9998736019470467,-0.09747799260205917,0.9998468616683015,-0.07339527870121809,0.9998207056799657,-0.03764232295210787,0.9997952257245212,-0.12990758142092249,0.9996711004963679,-0.1233458747154387,0.9996589897110093,-0.00975244261093614,0.9996490293840992,0.029474726056774238,0.9996378212900657,0.03638599674117206,0.9996246546255478,0.04793113771712591,0.999611027185646,0.0730999174190383,0.9995988736261913,0.08103631029137282,0.999588002992277,0.08505401192895727,0.9995777363399584,0.05720079570136385,0.999567974086036
bid_size_2,0.09556230285664521,-0.0030372101001756575,0.2590675603969453,-0.003048652149078024,1.0,-0.0030610062905502946,0.1611260983161468,-0.0030989832102237764,0.10662015096565562,-0.0031013564214577593,0.058234017260745376,-0.003108215537925088,0.08781645097744774,-0.003144909859519289,0.12532498539958864,-0.0031545428151171714,0.11332264899242356,-0.0031420753470702213,0.08453871018261197,-0.0031492174220850225,-0.02078585385246327,-0.004715563915698914,0.08126622516264062,-0.0048282890977800665,0.22318076069507461,-0.004909175851312683,0.13498170731025863,-0.00499714146255702,0.020388612615389545,-0.005097780726672392,0.04269046209615418,-0.005217445660010307,0.04837865484702071,-0.005325685334300944,0.05407471063545393,-0.005405496186758679,0.01197725774015528,-0.005472777339837175,-0.013971270982245956,-0.005547432950280406
bid_price_2,0.18064465117576595,0.9999500034247784,0.21267240263510956,0.9999751826313467,-0.0030610062905502946,1.0,-0.10524892156656299,0.9999752612107046,-0.12445038856691107,0.9999495248048886,-0.12431481223092353,0.9999236156014981,-0.1257585243746427,0.9998984840642495,-0.09743294528307511,0.9998717869143857,-0.07333964023130464,0.9998455991091841,-0.03758226349926762,0.9998201116030278,-0.130054067635749,0.9996761731938923,-0.1233919525515032,0.9996640737417147,-0.00973259830702516,0.9996541235738444,0.029511133503005434,0.9996429143265684,0.03642331033529333,0.9996297032742124,0.04798193875798877,0.9996161162715884,0.07309429051651102,0.9996039859212423,0.08107067868904193,0.9995931468236018,0.0850741932000097,0.9995828867395322,0.05723224551719201,0.9995731384393857
bid_size_3,0.008104595612532269,-0.10530204991950078,0.11248821719421329,-0.10527624216007356,0.1611260983161468,-0.10524892156656299,1.0,-0.10523039628601172,0.09153382637108852,-0.10532102057627296,0.12540057349717224,-0.10538377233380104,0.10646820395999532,-0.10547199408252071,0.10513352040455193,-0.1055340007829774,0.1721618543549995,-0.10560359294158411,0.15307058293110423,-0.10568735030952935,0.05256636017705002,-0.10821147460051685,0.1764809447349025,-0.10835191301663416,0.12542178929528153,-0.10845249742344505,0.020579172039014725,-0.10857525812915932,-0.021629563065186486,-0.10871252916248025,0.0023034573532831563,-0.10886403679013004,0.056124112661540104,-0.10900475468963254,0.05336537520905296,-0.10912031081813126,-0.019222470290053435,-0.1092250209928582,-0.048427036667953505,-0.10933434911330128
bid_price_3,0.1813692031988849,0.9999252513008395,0.21293211126483474,0.9999504356400258,-0.0030989832102237764,0.9999752612107046,-0.10523039628601172,1.0,-0.1243553894423732,0.9999742978550237,-0.12419598967923454,0.9999483874484699,-0.12566079138199485,0.9999232680457751,-0.0973972967650716,0.9998966104505628,-0.07329238446394257,0.9998703872269701,-0.037527026648063205,0.9998448884780847,-0.1302068935034313,0.9996821162730632,-0.12344482505090665,0.9996700383826946,-0.009720802422388168,0.9996600769459564,0.029538070774428243,0.9996488094206478,0.03646034707062679,0.9996355928803571,0.048024603777432125,0.9996220210538194,0.07308809944950005,0.9996098887394271,0.08110756770207551,0.9995990561981185,0.08508821861126795,0.9995888061679934,0.0572592556325771,0.9995790504345369
bid_size_4,-0.01862516681953987,-0.12465715529320427,0.02087597889893783,-0.12455064220992887,0.10662015096565562,-0.12445038856691107,0.09153382637108852,-0.1243553894423732,1.0,-0.1242260549795551,0.030926331250574212,-0.1245012537338983,0.15812903428202832,-0.12478449675734203,0.13068963634858227,-0.1250133027784178,0.11248729954768318,-0.12525693455717954,0.18251705090207748,-0.1255289159116341,0.11311058195544782,-0.12839099894974615,0.09633493466966905,-0.12859962587863233,0.01015255104052874,-0.12878134900928226,0.0061229933622464075,-0.12898176708005588,-0.021144181966752933,-0.1291905349128141,0.025836716342173292,-0.1293984973975551,0.06554154502735339,-0.12960552581410098,0.013828385684860202,-0.12980604134024257,-0.04197696289551303,-0.129991801253761,-0.027393668673829807,-0.13017933287101835
bid_price_4,0.18210962121658836,0.9998994422559282,0.21320446424517575,0.9999246612131604,-0.0031013564214577593,0.9999495248048886,-0.10532102057627296,0.9999742978550237,-0.1242260549795551,1.0,-0.12404378746766785,0.9999740494701517,-0.12553408225704965,0.9999489108226128,-0.09733272373735097,0.9999222567274269,-0.07323698263236107,0.9998959620997026,-0.037457921842659184,0.9998704164695986,-0.13038015469576586,0.9996859923017243,-0.12347990590397077,0.9996738734157472,-0.009688107195557516,0.9996638296843254,0.02957971805000759,0.9996524830822322,0.03649206041659861,0.9996392440419107,0.04804196722598708,0.9996256707152184,0.07310043384200203,0.9996135194647042,0.08116269922571676,0.9996026757943832,0.08511024747522836,0.9995924181599183,0.05729352129925113,0.9995826371838806
