(Research) arcwilbo@crc-dot1x-nat-10-239-114-160 Will_Branch % python Models/MLP.py   
Device: mps
[Epoch 007] Train: 0.000888  Val: 0.009143
[Epoch 008] Train: 0.000626  Val: 0.007123
[Epoch 009] Train: 0.000480  Val: 0.005905
[Epoch 010] Train: 0.000376  Val: 0.005090
Params: hidden=[64, 32], dropout=0.0, lr=0.0005, batch=256 → 0.014801
[Epoch 001] Train: 0.016241  Val: 0.002068
[Epoch 002] Train: 0.000112  Val: 0.001648
[Epoch 003] Train: 0.000058  Val: 0.001683
[Epoch 004] Train: 0.000046  Val: 0.001506
[Epoch 005] Train: 0.000040  Val: 0.001460
[Epoch 006] Train: 0.000035  Val: 0.001518
[Epoch 007] Train: 0.000031  Val: 0.001576
[Epoch 008] Train: 0.000029  Val: 0.001720
[Epoch 009] Train: 0.000024  Val: 0.001661
[Epoch 010] Train: 0.000020  Val: 0.001512
[Epoch 001] Train: 0.030030  Val: 0.000921
[Epoch 002] Train: 0.000092  Val: 0.000979
[Epoch 003] Train: 0.000049  Val: 0.000778
[Epoch 004] Train: 0.000038  Val: 0.000806
[Epoch 005] Train: 0.000035  Val: 0.000828
[Epoch 006] Train: 0.000030  Val: 0.000788
[Epoch 007] Train: 0.000028  Val: 0.000729
[Epoch 008] Train: 0.000022  Val: 0.000625
[Epoch 009] Train: 0.000021  Val: 0.000672
[Epoch 010] Train: 0.000018  Val: 0.000603
[Epoch 001] Train: 0.031004  Val: 0.000076
[Epoch 002] Train: 0.000081  Val: 0.000079
[Epoch 003] Train: 0.000036  Val: 0.000072
[Epoch 004] Train: 0.000026  Val: 0.000082
[Epoch 005] Train: 0.000022  Val: 0.000091
[Epoch 006] Train: 0.000019  Val: 0.000078
[Epoch 007] Train: 0.000017  Val: 0.000065
[Epoch 008] Train: 0.000016  Val: 0.000071
[Epoch 009] Train: 0.000015  Val: 0.000061
[Epoch 010] Train: 0.000014  Val: 0.000067
Params: hidden=[64, 32], dropout=0.2, lr=0.001, batch=128 → 0.000708
[Epoch 001] Train: 0.068437  Val: 0.007613
[Epoch 002] Train: 0.001108  Val: 0.001519
[Epoch 003] Train: 0.000222  Val: 0.001696
[Epoch 004] Train: 0.000137  Val: 0.001818
[Epoch 005] Train: 0.000097  Val: 0.001911
[Epoch 006] Train: 0.000079  Val: 0.001699
[Epoch 007] Train: 0.000067  Val: 0.001763
[Epoch 008] Train: 0.000062  Val: 0.001741
